Time,Headset.Controller.L.Forward.X,Headset.Controller.L.Forward.Y,Headset.Controller.L.Forward.Z,Headset.Controller.L.Position.X,Headset.Controller.L.Position.Y,Headset.Controller.L.Position.Z,Headset.Controller.L.Up.X,Headset.Controller.L.Up.Y,Headset.Controller.L.Up.Z,Headset.Controller.R.Forward.X,Headset.Controller.R.Forward.Y,Headset.Controller.R.Forward.Z,Headset.Controller.R.Position.X,Headset.Controller.R.Position.Y,Headset.Controller.R.Position.Z,Headset.Controller.R.Up.X,Headset.Controller.R.Up.Y,Headset.Controller.R.Up.Z,Headset.Gaze.X,Headset.Gaze.Y,Headset.Head.Forward.X,Headset.Head.Forward.Y,Headset.Head.Forward.Z,Headset.Head.Position.X,Headset.Head.Position.Y,Headset.Head.Position.Z,Headset.Head.Up.X,Headset.Head.Up.Y,Headset.Head.Up.Z,Headset.HeartRate,Headset.PupilDilation.L,Headset.PupilDilation.R

00:00:23.116,,,,974.2858,87.39048,-1422.628,,,,,,,974.2858,87.39048,-1422.628,,,,0.1160598,-0.04093984,-0.4215076,-0.1060336,0.9006044,974.0003,89.316,-1422.047,,,,,3.717606,3.839737
00:00:23.127,,,,974.2861,87.39049,-1422.381,,,,,,,974.2861,87.39049,-1422.381,,,,,,-0.4211646,-0.1094934,0.9003508,973.9986,89.31763,-1421.8
00:00:23.137,,,,974.2869,87.39049,-1422.163,,,,,,,974.2869,87.39049,-1422.163,,,,0.1071793,-0.03550771,-0.4217169,-0.1096896,0.9000683,973.9971,89.31987,-1421.581,,,,,3.681732,3.803955
00:00:23.148,,,,974.2883,87.39048,-1421.943,,,,,,,974.2883,87.39048,-1421.943,,,,0.1121371,-0.03279123,-0.4225103,-0.1069112,0.9000306,973.9964,89.3215,-1421.361,,,,,3.676178,3.732742
00:00:23.160,,,,974.2895,87.39048,-1421.725,,,,,,,974.2895,87.39048,-1421.725,,,,0.1144571,-0.04147374,-0.4238431,-0.1005341,0.9001389,973.9957,89.32161,-1421.143,,,,,3.694031,3.726028
00:00:23.170,,,,974.2906,87.39049,-1421.488,,,,,,,974.2906,87.39049,-1421.488,,,,0.1100775,-0.0386965,-0.4246192,-0.09735132,0.9001229,973.9951,89.32031,-1420.906,,,,,3.755493,3.720703
00:00:23.181,,,,974.2918,87.39049,-1421.262,,,,,,,974.2918,87.39049,-1421.262,,,,0.08409143,-0.04602064,-0.4253937,-0.100596,0.8994002,973.9948,89.3189,-1420.681,,,,,3.690109,3.746704
00:00:23.192,,,,974.2927,87.39048,-1421.031,,,,,,,974.2927,87.39048,-1421.031,,,,0.05160561,-0.05523723,-0.4260621,-0.1053029,0.8985446,973.994,89.31835,-1420.45,,,,,3.663696,3.819885
00:00:23.204,,,,974.2939,87.39049,-1420.792,,,,,,,974.2939,87.39049,-1420.792,,,,0.05818258,-0.05519181,-0.4269495,-0.1132611,0.8971545,973.9935,89.31813,-1420.212,,,,,3.70166,3.849274
00:00:23.215,,,,974.2952,87.39049,-1420.549,,,,,,,974.2952,87.39049,-1420.549,,,,0.06169164,-0.06037937,-0.4279219,-0.1208343,0.8957019,973.9933,89.31816,-1419.968,,,,,3.740463,3.776901
00:00:23.226,,,,974.2963,87.39049,-1420.291,,,,,,,974.2963,87.39049,-1420.291,,,,0.05465705,-0.05204779,-0.4294257,-0.1270467,0.8941212,973.9931,89.31813,-1419.711,,,,,3.682114,3.733505
00:00:23.237,,,,974.2974,87.39048,-1420.044,,,,,,,974.2974,87.39048,-1420.044,,,,0.05908225,-0.05819724,-0.4316859,-0.1311111,0.8924446,973.9928,89.31815,-1419.465,,,,,3.744049,3.775955
00:00:23.248,,,,974.2986,87.39048,-1419.782,,,,,,,974.2986,87.39048,-1419.782,,,,0.06192053,-0.05171234,-0.4337383,-0.1338655,0.8910394,973.9926,89.31818,-1419.202,,,,,3.70665,3.771576
00:00:23.259,,,,974.2997,87.39049,-1419.51,,,,,,,974.2997,87.39049,-1419.51,,,,0.05372644,-0.04451009,-0.4367439,-0.133749,0.8895876,973.9922,89.31894,-1418.931,,,,,3.725998,3.798431
