Time,Headset.Controller.L.Forward.X,Headset.Controller.L.Forward.Y,Headset.Controller.L.Forward.Z,Headset.Controller.L.Position.X,Headset.Controller.L.Position.Y,Headset.Controller.L.Position.Z,Headset.Controller.L.Up.X,Headset.Controller.L.Up.Y,Headset.Controller.L.Up.Z,Headset.Controller.R.Forward.X,Headset.Controller.R.Forward.Y,Headset.Controller.R.Forward.Z,Headset.Controller.R.Position.X,Headset.Controller.R.Position.Y,Headset.Controller.R.Position.Z,Headset.Controller.R.Up.X,Headset.Controller.R.Up.Y,Headset.Controller.R.Up.Z,Headset.Gaze.X,Headset.Gaze.Y,Headset.Head.Forward.X,Headset.Head.Forward.Y,Headset.Head.Forward.Z,Headset.Head.Position.X,Headset.Head.Position.Y,Headset.Head.Position.Z,Headset.Head.Up.X,Headset.Head.Up.Y,Headset.Head.Up.Z,Headset.HeartRate,Headset.PupilDilation.L,Headset.PupilDilation.R

00:00:34.681,,,,944.0239,87.39048,-1417.489,,,,,,,944.0239,87.39048,-1417.489,,,,0.1343083,0.07228114,-0.5211907,-0.03892582,0.8525521,943.8222,89.1866,-1416.984,,,,,4.627365,4.634811
00:00:34.692,,,,944.0209,87.39049,-1417.457,,,,,,,944.0209,87.39049,-1417.457,,,,0.07453972,0.07400566,-0.5261755,-0.03767723,0.8495409,943.8173,89.18648,-1416.952,,,,,4.611572,4.554153
00:00:34.703,,,,944.0184,87.39049,-1417.426,,,,,,,944.0184,87.39049,-1417.426,,,,0.04878291,0.08223057,-0.533033,-0.0366065,0.8453022,943.8127,89.18623,-1416.922,,,,,4.674255,4.577606
00:00:34.714,,,,944.0168,87.39048,-1417.401,,,,,,,944.0168,87.39048,-1417.401,,,,0.0455326,0.07141172,-0.5400482,-0.03728375,0.8408079,943.8093,89.18604,-1416.897,,,,,4.677917,4.494217
00:00:34.725,,,,944.0153,87.39049,-1417.377,,,,,,,944.0153,87.39049,-1417.377,,,,0.04837093,0.07141197,-0.5458642,-0.03831634,0.8369972,943.8057,89.18611,-1416.874,,,,,4.688065,4.546692
00:00:34.736,,,,944.0146,87.39049,-1417.359,,,,,,,944.0146,87.39049,-1417.359,,,,0.04824872,0.06623898,-0.5522343,-0.04049279,0.832705,943.803,89.18643,-1416.857,,,,,4.645233,4.622528
00:00:34.748,,,,944.0139,87.39048,-1417.342,,,,,,,944.0139,87.39048,-1417.342,,,,0.05738904,0.0736246,-0.5581824,-0.04260697,0.8286236,943.8002,89.18649,-1416.84,,,,,4.6362,4.537766
00:00:34.758,,,,944.0133,87.39048,-1417.326,,,,,,,944.0133,87.39048,-1417.326,,,,0.09442294,0.0755475,-0.563748,-0.04591116,0.8246698,943.7975,89.1864,-1416.825,,,,,4.713669,4.559906
00:00:34.770,,,,944.0135,87.39049,-1417.314,,,,,,,944.0135,87.39049,-1417.314,,,,0.09973243,0.07400586,-0.5687453,-0.04923423,0.8210389,943.7954,89.18714,-1416.813,,,,,4.64856,4.573517
00:00:34.781,,,,944.0137,87.39049,-1417.302,,,,,,,944.0137,87.39049,-1417.302,,,,0.1063398,0.08062845,-0.57296,-0.0500972,0.8180508,943.7932,89.18791,-1416.802,,,,,4.654312,4.520279
00:00:34.792,,,,944.0146,87.39049,-1417.293,,,,,,,944.0146,87.39049,-1417.293,,,,0.09909137,0.07959048,-0.5769895,-0.05040162,0.8151949,943.7916,89.18883,-1416.793,,,,,4.708206,4.547455
