Time,Headset.Controller.L.Forward.X,Headset.Controller.L.Forward.Y,Headset.Controller.L.Forward.Z,Headset.Controller.L.Position.X,Headset.Controller.L.Position.Y,Headset.Controller.L.Position.Z,Headset.Controller.L.Up.X,Headset.Controller.L.Up.Y,Headset.Controller.L.Up.Z,Headset.Controller.R.Forward.X,Headset.Controller.R.Forward.Y,Headset.Controller.R.Forward.Z,Headset.Controller.R.Position.X,Headset.Controller.R.Position.Y,Headset.Controller.R.Position.Z,Headset.Controller.R.Up.X,Headset.Controller.R.Up.Y,Headset.Controller.R.Up.Z,Headset.Gaze.X,Headset.Gaze.Y,Headset.Head.Forward.X,Headset.Head.Forward.Y,Headset.Head.Forward.Z,Headset.Head.Position.X,Headset.Head.Position.Y,Headset.Head.Position.Z,Headset.Head.Up.X,Headset.Head.Up.Y,Headset.Head.Up.Z,Headset.HeartRate,Headset.PupilDilation.L,Headset.PupilDilation.R

00:00:45.694,,,,941.6337,87.39049,-1399.096,,,,,,,941.6337,87.39049,-1399.096,,,,0.1004196,0.1656214,-0.501902,-0.1739672,0.8472483,941.5227,89.63824,-1398.574,,,,,4.304306,4.218109
00:00:45.705,,,,941.6193,87.39049,-1399.071,,,,,,,941.6193,87.39049,-1399.071,,,,0.1032565,0.1636662,-0.5013842,-0.1720442,0.8479474,941.5088,89.63878,-1398.548,,,,,4.320572,4.220627
00:00:45.715,,,,941.6057,87.39049,-1399.047,,,,,,,941.6057,87.39049,-1399.047,,,,0.0959331,0.1655903,-0.5015631,-0.1699515,0.8482635,941.4961,89.63885,-1398.524,,,,,4.302734,4.21756
00:00:45.726,,,,941.5931,87.39049,-1399.025,,,,,,,941.5931,87.39049,-1399.025,,,,0.08819611,0.1643225,-0.5018216,-0.1679717,0.8485049,941.4843,89.63931,-1398.502,,,,,4.319778,4.222092
00:00:45.737,,,,941.5811,87.39049,-1399.005,,,,,,,941.5811,87.39049,-1399.005,,,,0.08815137,0.1638209,-0.5020718,-0.1649273,0.848954,941.4729,89.63976,-1398.481,,,,,4.311249,4.219284
00:00:45.748,,,,941.5688,87.39049,-1398.983,,,,,,,941.5688,87.39049,-1398.983,,,,0.08790669,0.1632553,-0.5028405,-0.1612879,0.8491982,941.4616,89.64008,-1398.459,,,,,4.309692,4.216599
00:00:45.760,,,,941.5575,87.39049,-1398.964,,,,,,,941.5575,87.39049,-1398.964,,,,0.07837028,0.1644006,-0.5036533,-0.158236,0.8492907,941.451,89.64072,-1398.44,,,,,4.309555,4.248627
00:00:45.771,,,,941.5461,87.39049,-1398.945,,,,,,,941.5461,87.39049,-1398.945,,,,0.133669,0.1524376,-0.5045109,-0.1545065,0.8494684,941.4404,89.64159,-1398.42,,,,,4.292847,4.221161
00:00:45.782,,,,941.5356,87.39049,-1398.927,,,,,,,941.5356,87.39049,-1398.927,,,,0.1350726,0.1323107,-0.505175,-0.1509178,0.8497188,941.4308,89.64236,-1398.402,,,,,4.296783,4.116562
00:00:45.793,,,,941.5254,87.39049,-1398.91,,,,,,,941.5254,87.39049,-1398.91,,,,0.5773503,-0.5773503,-0.5058621,-0.1475519,0.8499012,941.4214,89.64277,-1398.384,,,,,-1,-1
00:00:45.804,,,,941.515,87.39049,-1398.893,,,,,,,941.515,87.39049,-1398.893,,,,0.5773503,-0.5773503,-0.5063663,-0.1436376,0.8502714,941.412,89.64317,-1398.366,,,,,-1,-1
00:00:45.815,,,,941.5052,87.39049,-1398.877,,,,,,,941.5052,87.39049,-1398.877,,,,0.5773503,-0.5773503,-0.5065706,-0.1403885,0.8506922,941.4033,89.64326,-1398.349,,,,,-1,-1
00:00:45.826,,,,941.4955,87.39049,-1398.862,,,,,,,941.4955,87.39049,-1398.862,,,,0.5773503,-0.5773503,-0.5069684,-0.1371318,0.8509865,941.3946,89.64364,-1398.333,,,,,-1,-1
00:00:45.838,,,,941.486,87.39049,-1398.847,,,,,,,941.486,87.39049,-1398.847,,,,0.5773503,-0.5773503,-0.5074392,-0.1340306,0.8511999,941.3864,89.64371,-1398.318,,,,,-1,-1
00:00:45.849,,,,941.4755,87.39049,-1398.83,,,,,,,941.4755,87.39049,-1398.83,,,,0.5773503,-0.5773503,-0.5079851,-0.1317019,0.8512378,941.377,89.64388,-1398.3,,,,,-1,-1
00:00:45.860,,,,941.4649,87.39049,-1398.813,,,,,,,941.4649,87.39049,-1398.813,,,,0.5773503,-0.5773503,-0.5086209,-0.1305676,0.8510329,941.3677,89.64403,-1398.282,,,,,-1,-1
00:00:45.871,,,,941.4512,87.39049,-1398.79,,,,,,,941.4512,87.39049,-1398.79,,,,0.5773503,-0.5773503,-0.5092568,-0.1299384,0.8507488,941.3552,89.64427,-1398.259,,,,,-1,-1
