Time,Headset.Controller.L.Forward.X,Headset.Controller.L.Forward.Y,Headset.Controller.L.Forward.Z,Headset.Controller.L.Position.X,Headset.Controller.L.Position.Y,Headset.Controller.L.Position.Z,Headset.Controller.L.Up.X,Headset.Controller.L.Up.Y,Headset.Controller.L.Up.Z,Headset.Controller.R.Forward.X,Headset.Controller.R.Forward.Y,Headset.Controller.R.Forward.Z,Headset.Controller.R.Position.X,Headset.Controller.R.Position.Y,Headset.Controller.R.Position.Z,Headset.Controller.R.Up.X,Headset.Controller.R.Up.Y,Headset.Controller.R.Up.Z,Headset.Gaze.X,Headset.Gaze.Y,Headset.Head.Forward.X,Headset.Head.Forward.Y,Headset.Head.Forward.Z,Headset.Head.Position.X,Headset.Head.Position.Y,Headset.Head.Position.Z,Headset.Head.Up.X,Headset.Head.Up.Y,Headset.Head.Up.Z,Headset.HeartRate,Headset.PupilDilation.L,Headset.PupilDilation.R

00:00:16.128,,,,953.783,87.39049,-1445.47,,,,,,,953.783,87.39049,-1445.47,,,,0.09397937,0.02677931,-0.4112138,-0.04753651,0.9102985,953.7112,89.65733,-1444.952,,,,,4.581665,4.553223
00:00:16.139,,,,953.7703,87.39049,-1445.438,,,,,,,953.7703,87.39049,-1445.438,,,,,,-0.4111391,-0.0460286,0.9104098,953.6979,89.65754,-1444.92
00:00:16.151,,,,953.7584,87.39049,-1445.406,,,,,,,953.7584,87.39049,-1445.406,,,,0.09443716,0.023224,-0.4109884,-0.0446629,0.9105459,953.6852,89.65788,-1444.89,,,,,4.602707,4.54306
00:00:16.161,,,,953.7384,87.39049,-1445.356,,,,,,,953.7384,87.39049,-1445.356,,,,0.06747497,0.02211018,-0.4102883,-0.04317744,0.9109332,953.6644,89.6582,-1444.839,,,,,4.598877,4.566055
00:00:16.172,,,,953.7149,87.39049,-1445.297,,,,,,,953.7149,87.39049,-1445.297,,,,0.07711817,0.02108772,-0.4098096,-0.04136628,0.9112327,953.6401,89.65858,-1444.781,,,,,4.598587,4.572937
00:00:16.184,,,,953.6782,87.39049,-1445.202,,,,,,,953.6782,87.39049,-1445.202,,,,0.07029797,0.02078269,-0.4092107,-0.03925587,0.9115951,953.6026,89.65878,-1444.687,,,,,4.584183,4.574081
00:00:16.195,,,,953.6356,87.39049,-1445.091,,,,,,,953.6356,87.39049,-1445.091,,,,0.06678837,0.02139303,-0.4085213,-0.03738178,0.911983,953.5592,89.65869,-1444.576,,,,,4.58371,4.580902
00:00:16.206,,,,953.5871,87.39049,-1444.964,,,,,,,953.5871,87.39049,-1444.964,,,,0.05741953,0.0214236,-0.4078992,-0.03550708,0.9123363,953.5097,89.65884,-1444.45,,,,,4.578339,4.58934
00:00:16.217,,,,953.5222,87.39048,-1444.792,,,,,,,953.5222,87.39048,-1444.792,,,,0.04501405,0.01965359,-0.4072105,-0.03370028,0.9127124,953.4438,89.65907,-1444.279,,,,,4.57103,4.585785
00:00:16.228,,,,953.45,87.39049,-1444.597,,,,,,,953.45,87.39049,-1444.597,,,,0.04444916,0.01812757,-0.4063877,-0.03173857,0.9131493,953.3706,89.6592,-1444.085,,,,,4.573212,4.57991
00:00:16.239,,,,953.3642,87.3905,-1444.366,,,,,,,953.3642,87.3905,-1444.366,,,,0.04728706,0.01617434,-0.4055816,-0.02985661,0.9135711,953.2838,89.65937,-1443.854,,,,,4.582809,4.572784
00:00:16.251,,,,953.2695,87.39049,-1444.108,,,,,,,953.2695,87.39049,-1444.108,,,,0.05470319,0.01687635,-0.404218,-0.02790307,0.914237,953.188,89.65945,-1443.598,,,,,4.585861,4.577026
00:00:16.262,,,,953.1644,87.39048,-1443.821,,,,,,,953.1644,87.39048,-1443.821,,,,0.05477916,0.01606753,-0.4025669,-0.02628455,0.9150131,953.0818,89.65938,-1443.311,,,,,4.584351,4.564377
00:00:16.273,,,,953.0452,87.39049,-1443.492,,,,,,,953.0452,87.39049,-1443.492,,,,0.0537422,0.0149996,-0.4005913,-0.02517487,0.9159109,952.9614,89.65935,-1442.983,,,,,4.584869,4.56311
00:00:16.284,,,,952.9171,87.39049,-1443.14,,,,,,,952.9171,87.39049,-1443.14,,,,0.04925552,0.01487736,-0.3989085,-0.0242402,0.9166703,952.8322,89.65955,-1442.632,,,,,4.584274,4.592957
00:00:16.296,,,,952.7751,87.39048,-1442.746,,,,,,,952.7751,87.39048,-1442.746,,,,0.05148368,0.01161206,-0.3972237,-0.0238793,0.9174111,952.6889,89.66003,-1442.239,,,,,4.584702,4.585968
00:00:16.306,,,,952.6298,87.39048,-1442.342,,,,,,,952.6298,87.39048,-1442.342,,,,0.05714431,0.01202396,-0.3957419,-0.02317631,0.9180692,952.5422,89.66049,-1441.836,,,,,4.586899,4.586136
00:00:16.317,,,,952.4816,87.39049,-1441.928,,,,,,,952.4816,87.39049,-1441.928,,,,0.07498229,0.005477949,-0.3944619,-0.02198648,0.9186492,952.3927,89.66077,-1441.423,,,,,4.589737,4.582001
00:00:16.328,,,,952.324,87.39049,-1441.488,,,,,,,952.324,87.39049,-1441.488,,,,0.07844622,0.003433262,-0.3933823,-0.02108677,0.9191331,952.2338,89.66072,-1440.984,,,,,4.588257,4.581741
00:00:16.339,,,,952.1619,87.39049,-1441.035,,,,,,,952.1619,87.39049,-1441.035,,,,0.09378174,0.003112833,-0.3926896,-0.02092717,0.9194329,952.0703,89.66052,-1440.532,,,,,4.65889,4.582504
00:00:16.351,,,,951.9932,87.39049,-1440.562,,,,,,,951.9932,87.39049,-1440.562,,,,0.09250022,0.0005035479,-0.3923219,-0.02151939,0.9195762,951.9002,89.66036,-1440.061,,,,,4.631104,4.583588
00:00:16.361,,,,951.8191,87.39049,-1440.074,,,,,,,951.8191,87.39049,-1440.074,,,,0.09098955,-0.002105745,-0.3919894,-0.02151451,0.9197181,951.7248,89.66013,-1439.574,,,,,4.604095,4.583221
00:00:16.373,,,,951.6528,87.39049,-1439.607,,,,,,,951.6528,87.39049,-1439.607,,,,0.09129432,-0.004318284,-0.3925913,-0.02234687,0.9194415,951.5573,89.65957,-1439.108,,,,,4.600647,4.583908
00:00:16.384,,,,951.4698,87.39048,-1439.093,,,,,,,951.4698,87.39048,-1439.093,,,,0.08544945,-0.00195313,-0.3924516,-0.02239299,0.9195001,951.373,89.65926,-1438.595,,,,,4.56459,4.587234
00:00:16.395,,,,951.3022,87.39049,-1438.623,,,,,,,951.3022,87.39049,-1438.623,,,,0.08726612,-0.002197293,-0.3925114,-0.02194464,0.9194853,951.2043,89.65887,-1438.126,,,,,4.536819,4.578445
00:00:16.406,,,,951.1367,87.39048,-1438.158,,,,,,,951.1367,87.39048,-1438.158,,,,0.08653319,-0.004684481,-0.3924674,-0.02079167,0.9195309,951.0375,89.65851,-1437.661,,,,,4.570633,4.576263
00:00:16.417,,,,950.9711,87.39049,-1437.692,,,,,,,950.9711,87.39049,-1437.692,,,,0.08714304,-0.004318242,-0.3923596,-0.01952766,0.9196046,950.8708,89.65832,-1437.196,,,,,4.572357,4.577881
00:00:16.428,,,,950.8136,87.39049,-1437.248,,,,,,,950.8136,87.39049,-1437.248,,,,0.08705193,-0.004943878,-0.3926619,-0.01748296,0.9195167,950.712,89.65824,-1436.754,,,,,4.540665,4.570602
